0.000000000000000000e+00,2.299999999999999822e+00
5.000000000000000000e-01,1.209999999999999964e+01
1.000000000000000000e+00,3.689999999999999858e+01
1.500000000000000000e+00,6.779999999999999716e+01
1.699999999999999956e+00,8.129999999999999716e+01
2.000000000000000000e+00,9.800000000000000000e+01
2.500000000000000000e+00,1.217000000000000028e+02
3.000000000000000000e+00,1.310000000000000000e+02
3.100000000000000089e+00,1.315999999999999943e+02
3.500000000000000000e+00,1.305999999999999943e+02
